45293,0,0,2078.6,0
45293,0,5,2078.7,0
45293,0,10,2079.3,0
45293,0,15,2080.5,0
45293,0,20,2079.9,0
45293,0,25,2080.2,0
45293,0,30,2080.5,0
45293,0,35,2080.6,0
45293,0,40,2080.2,0
45293,0,45,2080.9,0
45293,0,50,2082.3,0
45293,0,55,2083.4,0
45293,1,0,2083.4,0
45293,1,5,2082.5,0
45293,1,10,2082.4,0
45293,1,15,2083.6,0
45293,1,20,2083.6,0
45293,1,25,2084,0
45293,1,30,2084.4,-1
45293,1,35,2084,-1
45293,1,40,2083.7,-1
45293,1,45,2083.6,-1
45293,1,50,2083.4,-1
45293,1,55,2082.5,-1
45293,2,0,2082.7,-1
45293,2,5,2082.9,-1
45293,2,10,2083.6,-1
45293,2,15,2083.9,-1
45293,2,20,2083.3,-1
45293,2,25,2084.6,-1
45293,2,30,2083.9,-1
45293,2,35,2084.1,-1
45293,2,40,2084.3,-1
45293,2,45,2084,-1
45293,2,50,2084.2,-1
45293,2,55,2083.8,-1
45293,3,0,2082.5,-1
45293,3,5,2083.1,-1
45293,3,10,2081.9,-1
45293,3,15,2083.1,-1
45293,3,20,2082.6,-1
45293,3,25,2081.7,-1
45293,3,30,2081.5,0
45293,3,35,2082.4,0
45293,3,40,2082.8,0
45293,3,45,2082.9,0
45293,3,50,2081.7,0
45293,3,55,2081.9,0
45293,4,0,2082.2,0
45293,4,5,2083.1,0
45293,4,10,2083.9,0
45293,4,15,2083.4,0
45293,4,20,2084,0
45293,4,25,2083.3,0
45293,4,30,2083.7,2
45293,4,35,2085.7,2
45293,4,40,2087.5,2
45293,4,45,2087.5,2
45293,4,50,2087.2,2
45293,4,55,2087.2,2
45293,5,0,2086,2
45293,5,5,2085.7,2
45293,5,10,2085.9,2
45293,5,15,2084.1,2
45293,5,20,2082.8,2
45293,5,25,2083.7,2
45293,5,30,2083.8,2
45293,5,35,2084.8,2
45293,5,40,2084.1,2
45293,5,45,2084.8,2
45293,5,50,2085.6,2
45293,5,55,2085.1,2
45293,6,0,2085.1,6
45293,6,5,2084.7,6
45293,6,10,2083.8,6
45293,6,15,2083.3,6
45293,6,20,2082.7,6
45293,6,25,2084.9,6
45293,6,30,2084.1,6
45293,6,35,2080.1,6
45293,6,40,2079.2,6
45293,6,45,2077.2,6
45293,6,50,2078.9,6
45293,6,55,2078.1,6
45293,7,0,2078.1,6
45293,7,5,2075.8,6
45293,7,10,2076.3,6
45293,7,15,2075.5,6
45293,7,20,2075.3,6
45293,7,25,2075.3,6
45293,7,30,2074.9,6
45293,7,35,2076.6,6
45293,7,40,2076.2,6
45293,7,45,2076,6
45293,7,50,2076.7,6
45293,7,55,2076.8,6
45293,8,0,2076.9,6
45293,8,5,2076.3,6
45293,8,10,2075.6,6
45293,8,15,2074.4,6
45293,8,20,2075,6
